gene name	Scaled_TPM	group number
str-243	0.0294467011962372	1
Y44A6D.6	0.0295324812879111	1
lgc-18	0.029541452160229	1
F56A6.5	0.0296244881234677	1
nep-24	0.0296536695636005	1
T08G5.3	0.0296592114390425	1
nhr-172	0.0297104377980486	1
che-1	0.0297608755650534	1
sra-31	0.0298016490611746	1
F31B9.2	0.0298252750865946	1
F25E5.9	0.0298292157186253	1
C05B5.1	0.0298786277704115	1
F42F12.14	0.0299042709907772	1
EGAP5.1	0.0299821425952171	1
R03G8.6	0.0300177573102699	1
W06A11.1	0.0301222252779608	1
Y6E2A.1	0.0301617282071479	1
ZK1053.6	0.0303772885103879	1
Y38H6C.19	0.0305910439541024	1
T21E8.7	0.0305983276032631	1
fbxa-222	0.0306053546108418	1
bgnt-1.4	0.0306269217606066	1
T22F3.11	0.0307866120382257	1
F21H7.12	0.0308032396188562	1
srh-268	0.0308032396188562	1
K09C8.7	0.0309104952252152	1
srb-19	0.0309272584604974	1
srsx-27	0.0310626885880366	1
his-7	0.0311000966799874	1
lgc-49	0.0311386855038585	1
F14D7.8	0.0311871544863276	1
clec-194	0.0311905816946601	1
F56D5.9	0.0312333429422193	1
T23F6.2	0.0312850946075218	1
sra-27	0.0314164961272329	1
F35F10.7	0.0314547936361523	1
srw-141	0.031549542513673	1
ces-2	0.031595377873648	1
srn-1	0.0316210089525182	1
Y38E10A.28	0.0316581844375782	1
srbc-8	0.0316772441291744	1
srg-7	0.0316952292106855	1
srbc-60	0.0316975142334359	1
R13H4.7	0.031703338842454	1
T23B3.8	0.031705925927291	1
K07D4.4	0.0317090046868181	1
sra-4	0.0317093603625357	1
str-162	0.0317101044217888	1
med-2	0.0317107754102426	1
srg-27	0.0317131183575185	1
srx-98	0.0317132750197054	1
sri-2	0.0317138463375113	1
C08F1.10	0.0318931032123102	1
F42D1.4	0.0320351498650539	1
F11C7.6	0.0321753998399004	1
F49C12.2	0.0322096947666211	1
F20A1.2	0.0322125807183798	1
Y54E10A.13	0.0322228747740197	1
C12D5.5	0.0323274114188475	1
oac-36	0.0324098755145282	1
C17B7.8	0.0324458737866317	1
clec-4	0.0324735593671012	1
T05C12.9	0.032571319261772	1
gcy-6	0.0327376676456189	1
Y32B12B.8	0.0327527712984349	1
B0393.7	0.0328401687519083	1
cut-3	0.0328427568218809	1
Y7A5A.7	0.0329148817136676	1
Y110A7A.2	0.0329621911360796	1
C39E9.7	0.0330141567135093	1
twk-44	0.03301751921494	1
clec-138	0.0330224650885985	1
twk-2	0.0330238864831708	1
H20J04.1	0.0330641445942355	1
B0524.4	0.0330759721145583	1
sre-13	0.0331193998558154	1
nhr-216	0.0332039816912984	1
Y23H5B.12	0.033261594924518	1
T04C10.3	0.0333828668876717	1
M153.5	0.0335614272489609	1
C06E4.5	0.0336447253838191	1
sre-44	0.0337432308141004	1
sdz-38	0.0337451035464642	1
F36H9.2	0.033757655892201	1
pals-21	0.0338313953532385	1
F26A1.4	0.0338838069207072	1
kin-33	0.0339765095667506	1
T05H4.3	0.0339834241891851	1
srd-42	0.033989980256643	1
C45B11.2	0.0340092893639468	1
cyp-13A8	0.0340213127303282	1
ZC374.2	0.0341541524848308	1
F07E5.4	0.0341647982502416	1
cpna-4	0.0341722451058538	1
C07A4.2	0.0343113593022864	1
