gene name	Scaled_TPM	group number
W09B7.3	0.00756612034868	1
F43C11.11	0.0075670561706156	1
C03H5.9	0.0075683147973227	1
fbxb-2	0.0075785858180305	1
T22D1.6	0.0075820608674464	1
srtx-1	0.0075925254929633	1
C17B7.10	0.0075948981576271	1
F57G12.2	0.0076037786052608	1
bath-47	0.0076108996655711	1
srh-87	0.0076139070620031	1
cyp-13A12	0.0076198069359752	1
F54F7.3	0.0076276561343305	1
R09H3.2	0.0076350491874986	1
C05D12.5	0.0076377511820496	1
str-93	0.007663967701918	1
srx-108	0.0076675835492451	1
Y116A8A.4	0.0076746286774641	1
R07A4.4	0.0076763982192623	1
F26D11.2	0.0076836324481258	1
C34F6.12	0.0076914724816923	1
nhr-276	0.0077090178370052	1
F44A2.7	0.0077094617514487	1
srw-103	0.0077228425922472	1
nhr-254	0.0077294918273424	1
F48G7.9	0.0077329120163847	1
oac-42	0.0077361185798797	1
clec-38	0.007751062295517	1
trpl-5	0.0077675704235751	1
T23F6.2	0.0077707060305177	1
Y67D8B.2	0.007774900869671	1
chil-7	0.0077755012932516	1
Y50D7A.13	0.0077880833942971	1
M03F4.4	0.007788152608521	1
srx-8	0.0077975500970997	1
C02E7.10	0.0078035316450955	1
M02D8.7	0.007809525453171	1
dot-1.5	0.0078163082955255	1
str-99	0.0078401981799002	1
K03D3.2	0.0078413899459619	1
nhx-6	0.0078464660220761	1
C50E3.7	0.007848522362253	1
srv-25	0.0078494850867127	1
T21D12.11	0.007853419390506	1
F58E6.4	0.007857394650945	1
C50H11.13	0.0078601996582763	1
T12A7.7	0.0078671812157225	1
fbxc-25	0.0078837191922095	1
Y45G5AM.5	0.0079008165267571	1
